질문,답변,카테고리,키워드
배송은 얼마나 걸리나요?,일반적으로 주문 후 2-3일 소요되며 제주도나 도서산간 지역은 추가 1-2일 소요됩니다.,배송,"배송,시간,기간,얼마나"
환불 정책은 어떻게 되나요?,구매 후 7일 이내 미개봉 제품에 한하여 전액 환불이 가능합니다. 개봉 제품은 단순 변심의 경우 환불이 어렵습니다.,환불,"환불,취소,반품,정책"
제품 보증 기간은?,모든 제품은 구매일로부터 1년간 무상 A/S를 제공합니다.,보증,"보증,AS,수리,고장"
결제 수단은 무엇이 있나요?,"신용카드, 체크카드, 계좌이체, 무통장입금, 네이버페이, 카카오페이를 지원합니다.",결제,"결제,카드,페이,지불"
해외 배송이 가능한가요?,"현재는 국내 배송만 가능합니다. 해외 배송은 준비 중입니다.",배송,"해외,국제,배송"
대량 구매 할인이 있나요?,10개 이상 구매 시 10% 할인이 적용됩니다. 대량 구매 문의는 별도로 연락주시면 맞춤 견적을 제공해드립니다.,가격,"대량,할인,도매,B2B"
제품 사용법을 모르겠어요,제품 박스 안에 간단 매뉴얼이 포함되어 있으며 홈페이지에서 상세 매뉴얼과 동영상 가이드를 확인하실 수 있습니다.,지원,"사용법,매뉴얼,설명서,가이드"
교환은 어떻게 하나요?,제품 하자가 있는 경우 7일 이내 무료 교환이 가능합니다. 고객센터로 연락주시면 즉시 처리해드립니다.,교환,"교환,바꾸기,변경"
회원가입 혜택이 있나요?,"회원가입 시 즉시 사용 가능한 5,000원 할인 쿠폰을 드리며, 적립금 제도를 통해 구매금액의 3%를 적립해드립니다.",회원,"회원,가입,혜택,쿠폰"
영업시간이 어떻게 되나요?,고객센터는 평일 오전 9시부터 오후 6시까지 운영되며 점심시간은 12시부터 1시까지입니다. 주말과 공휴일은 휴무입니다.,일반,"영업시간,운영시간,상담시간"
